web-scraper-order,web-scraper-start-url,pagination-selector,Image-src,Rating,Title,Price,Monthly Sales,Review
"1758953876-1","https://www.amazon.in/s?rh=n%3A4772060031%2Cp_n_condition-type%3A8609960031&dc&qid=1758952355&rnid=8609959031&ref=sr_nr_p_n_condition-type_0","","https://m.media-amazon.com/images/I/81djrLEbvJL._AC_UL320_.jpg","3.9 out of 5 stars","ULTRA SHIELD Magic Silver Series 100% Waterproof Car Body Cover for Range Rover Vogue with Mirror Pockets | Triple Stitched, Elastic, Custom Fit, Heat Resistant, Anti-Dust, All-Weather Cover","1,819","","131"
"1758953876-2","https://www.amazon.in/s?rh=n%3A4772060031%2Cp_n_condition-type%3A8609960031&dc&qid=1758952355&rnid=8609959031&ref=sr_nr_p_n_condition-type_0","","https://m.media-amazon.com/images/I/7155nb8cIeL._AC_UL320_.jpg","4.4 out of 5 stars","REDTIGER F17 4K 3 Channel Dash Cam 5G WiFi Built-in GPS, Free 64GB Card, 2160P+1080P+1080P Front and Rear Inside Loop Recording, Triple Car Camera with 3 Inch Screen, IR Night View, WDR, Parking Mode","14,157","300+ bought in past month","4,228"
"1758953876-3","https://www.amazon.in/s?rh=n%3A4772060031%2Cp_n_condition-type%3A8609960031&dc&qid=1758952355&rnid=8609959031&ref=sr_nr_p_n_condition-type_0","","https://m.media-amazon.com/images/I/61vWZBrARFL._AC_UL320_.jpg","4.2 out of 5 stars","AMERICAN ARMOUR Titanium Silver Series 100% Waterproof Car Body Cover for Jaguar I Pace with Mirror Pockets | UV Protection, Heavy Duty, All-Weather, Custom Fit | Indoor Outdoor Dust-Proof","2,109","","52"
"1758953876-4","https://www.amazon.in/s?rh=n%3A4772060031%2Cp_n_condition-type%3A8609960031&dc&qid=1758952355&rnid=8609959031&ref=sr_nr_p_n_condition-type_0","","https://m.media-amazon.com/images/I/61a3ls6VP+L._AC_UL320_.jpg","4.2 out of 5 stars","Godrej aer O – Hanging Car Air Freshener – Assorted Pack of 3 (22.5g) | Gel Lasts up to 30 days | Car Accessories","228","10K+ bought in past month","5,220"
"1758953876-5","https://www.amazon.in/s?rh=n%3A4772060031%2Cp_n_condition-type%3A8609960031&dc&qid=1758952355&rnid=8609959031&ref=sr_nr_p_n_condition-type_0","","https://m.media-amazon.com/images/I/81dsWgzXLrL._AC_UL320_.jpg","4.3 out of 5 stars","SOFTSPUN Microfiber Cloth - 4 pcs - 40x40 cms - 340 GSM Grey! Thick Lint & Streak-Free Multipurpose Cloths - Automotive Microfibre Towels for Car Bike Cleaning Polishing Washing & Detailing.","199","10K+ bought in past month","100,561"
"1758953876-6","https://www.amazon.in/s?rh=n%3A4772060031%2Cp_n_condition-type%3A8609960031&dc&qid=1758952355&rnid=8609959031&ref=sr_nr_p_n_condition-type_0","","https://m.media-amazon.com/images/I/61m+BuuwS3L._AC_UL320_.jpg","4.0 out of 5 stars","Portronics Tune, 2-in-1 Wireless Car Receiver, Converts Wired Auto Android & CarPlay to Wireless, Bluetooth Connectivity, Only for Cars with OEM Installed Wired Android Auto/CarPlay (Black)","1,849","10K+ bought in past month","1,575"
"1758953876-7","https://www.amazon.in/s?rh=n%3A4772060031%2Cp_n_condition-type%3A8609960031&dc&qid=1758952355&rnid=8609959031&ref=sr_nr_p_n_condition-type_0","","https://m.media-amazon.com/images/I/51Y3j2roozL._AC_UL320_.jpg","","Wesaf All in One Multi-Purpose Liquid Polish For Car, Motorbike, Scooter, Household, Office Care| Interior & Exterior Surfaces High Glos Polish Restore shine on plastic & leather | Reduce Dust 200ML","199","",""
"1758953876-8","https://www.amazon.in/s?rh=n%3A4772060031%2Cp_n_condition-type%3A8609960031&dc&qid=1758952355&rnid=8609959031&ref=sr_nr_p_n_condition-type_0","","https://m.media-amazon.com/images/I/819QRIUqWfL._AC_UL320_.jpg","4.1 out of 5 stars","ULTRA SHIELD Army Series 100% Waterproof Car Body Cover for Camry 2019 with Mirror Pockets | Triple Stitched, Elastic, Custom Fit, Heat Resistant, Anti-Dust, All-Weather Cover (Military)","1,789","","289"
"1758953876-9","https://www.amazon.in/s?rh=n%3A4772060031%2Cp_n_condition-type%3A8609960031&dc&qid=1758952355&rnid=8609959031&ref=sr_nr_p_n_condition-type_0","","https://m.media-amazon.com/images/I/71D2RTZ5BBL._AC_UL320_.jpg","4.3 out of 5 stars","Wavex Wonder Wash Car Shampoo (1L) | Luxurious Car Wash Shampoo, Honey Thick with Super Suds | Car Washing Shampoo with Peach Fragrance, Produces Thick Foam","372","1K+ bought in past month","6,687"
"1758953876-10","https://www.amazon.in/s?rh=n%3A4772060031%2Cp_n_condition-type%3A8609960031&dc&qid=1758952355&rnid=8609959031&ref=sr_nr_p_n_condition-type_0","","https://m.media-amazon.com/images/I/51OyrUyY3bL._AC_UL320_.jpg","4.3 out of 5 stars","Portronics 80W Dual Output Fast Car Charger with Type-C PD & USB, LED Indicator, Charging Adapter Compatible with Cars for iPhone & Android Smartphone, Smartwatch, Earbud, Power Bank (Black)","299","10K+ bought in past month","1,573"
"1758953876-11","https://www.amazon.in/s?rh=n%3A4772060031%2Cp_n_condition-type%3A8609960031&dc&qid=1758952355&rnid=8609959031&ref=sr_nr_p_n_condition-type_0","","https://m.media-amazon.com/images/I/51iXu11jMdL._AC_UL320_.jpg","4.3 out of 5 stars","WD-40 Multipurpose Spray, Rust Remover, Cleans Bike Chains, Hinge Lubricant, Loosens Jammed Parts, Degreaser, and Cleaning Agent, 420ml (344.4g)","329","10K+ bought in past month","46,544"
"1758953876-12","https://www.amazon.in/s?rh=n%3A4772060031%2Cp_n_condition-type%3A8609960031&dc&qid=1758952355&rnid=8609959031&ref=sr_nr_p_n_condition-type_0","","https://m.media-amazon.com/images/I/61qMdqTzapL._AC_UL320_.jpg","4.0 out of 5 stars","Boldfit Full Face Helmet Mask for Bikers in Riding UV Protected, Balaclava, Black Mask for Bike Riding and Cycling Accessories for Men & Women","199","10K+ bought in past month","7,910"
"1758953876-13","https://www.amazon.in/s?rh=n%3A4772060031%2Cp_n_condition-type%3A8609960031&dc&qid=1758952355&rnid=8609959031&ref=sr_nr_p_n_condition-type_0","","https://m.media-amazon.com/images/I/81XJguHAQtL._AC_UL320_.jpg","4.0 out of 5 stars","Woscherr Tyre Inflator for Car - 110 psi, 12V DC Portable Air Pump/Compressor with Analog Tyre Pressure Gauge, for Car, Bikes, Bicycles or Any Inflatable with LED Light| 2 Years Warranty","899","500+ bought in past month","5,416"
"1758953876-14","https://www.amazon.in/s?rh=n%3A4772060031%2Cp_n_condition-type%3A8609960031&dc&qid=1758952355&rnid=8609959031&ref=sr_nr_p_n_condition-type_0","","https://m.media-amazon.com/images/I/51otJDS4qdL._AC_UL320_.jpg","3.8 out of 5 stars","PROTEGO All Weather Protection Golden Car Cover for Bentley Flying Spur | Anti Dust, 100% Waterproof, Durable Cover - Triple Stitched Elastic Grip with Mirror Pocket | (Gold)","2,647","","50"
"1758953876-15","https://www.amazon.in/s?rh=n%3A4772060031%2Cp_n_condition-type%3A8609960031&dc&qid=1758952355&rnid=8609959031&ref=sr_nr_p_n_condition-type_0","","https://m.media-amazon.com/images/I/615RvTBQZjL._AC_UL320_.jpg","4.3 out of 5 stars","Shakti Technology S3 High Pressure Car Washer Machine 1800 Watts and Pressure 120 Bar For Cleaning Car, Bike & Home (S3)","3,889","5K+ bought in past month","10,505"
"1758953876-16","https://www.amazon.in/s?rh=n%3A4772060031%2Cp_n_condition-type%3A8609960031&dc&qid=1758952355&rnid=8609959031&ref=sr_nr_p_n_condition-type_0","","https://m.media-amazon.com/images/I/61vCOKHziLL._AC_UL320_.jpg","4.1 out of 5 stars","Shadow Securitronics Tom CAT No Entry Rat Repellent Spray for Cars Highly Effective with and Lasts 1 Year Leak Free Easy to Spray Nozzle 1st time in India (1) - FORMULATION 1 X","455","10K+ bought in past month","13,408"
"1758953876-17","https://www.amazon.in/s?rh=n%3A4772060031%2Cp_n_condition-type%3A8609960031&dc&qid=1758952355&rnid=8609959031&ref=sr_nr_p_n_condition-type_0","","https://m.media-amazon.com/images/I/610XWnl+nXL._AC_UL320_.jpg","4.1 out of 5 stars","AllExtreme ‎CYL-06-T Multi-Purpose Bike Chain Cleaner Brush with Soft & Long Bristles Ideal for Quick Cleaning of Cycles, Motorcycles (Blue)","110","8K+ bought in past month","8,466"
"1758953876-18","https://www.amazon.in/s?rh=n%3A4772060031%2Cp_n_condition-type%3A8609960031&dc&qid=1758952355&rnid=8609959031&ref=sr_nr_p_n_condition-type_0","","https://m.media-amazon.com/images/I/81kD7t3z+LL._AC_UL320_.jpg","4.4 out of 5 stars","Motul Combo of C2 Chain Lube (150 ml) and C1 Chain Clean for All Bikes (150 ml) (LBCH001)","573","8K+ bought in past month","20,795"
"1758953876-19","https://www.amazon.in/s?rh=n%3A4772060031%2Cp_n_condition-type%3A8609960031&dc&qid=1758952355&rnid=8609959031&ref=sr_nr_p_n_condition-type_0","","https://m.media-amazon.com/images/I/51smnBFDh1L._AC_UL320_.jpg","3.8 out of 5 stars","Boldfit Arm Sleeves for Men & Women UV & Sun Protection Hand Cover Sleeves for Boys & Girls for Running, Bike Riding & Outdoor Use – 1 Pair Large","89","4K+ bought in past month","2,064"
"1758953876-20","https://www.amazon.in/s?rh=n%3A4772060031%2Cp_n_condition-type%3A8609960031&dc&qid=1758952355&rnid=8609959031&ref=sr_nr_p_n_condition-type_0","","https://m.media-amazon.com/images/I/41n0ALyjZYL._AC_UL320_.jpg","3.8 out of 5 stars","Involve Your Senses One Musk Organic Car Perfume, Involve Your Senses Strong Fiber Air Freshener to Freshen'up Your Car - IONE01-40 g,Car Accessories interior car perfumes and fresheners","349","7K+ bought in past month","29,169"
"1758953876-21","https://www.amazon.in/s?rh=n%3A4772060031%2Cp_n_condition-type%3A8609960031&dc&qid=1758952355&rnid=8609959031&ref=sr_nr_p_n_condition-type_0","","https://m.media-amazon.com/images/I/715iaC3JR7L._AC_UL320_.jpg","4.4 out of 5 stars","Motul 7100 4T Fully Synthetic Petrol Engine Oil for Bikes, 10W-40 - 1L","719","4K+ bought in past month","8,263"
"1758953876-22","https://www.amazon.in/s?rh=n%3A4772060031%2Cp_n_condition-type%3A8609960031&dc&qid=1758952355&rnid=8609959031&ref=sr_nr_p_n_condition-type_0","","https://m.media-amazon.com/images/I/81hauo1yiwL._AC_UL320_.jpg","4.3 out of 5 stars","ShineXPro Microfiber Car Cleaning Cloth - OG Soft 500 GSM Extra Large (35x75 CM) Microfiber Cloth for Car and Bike - Suede Edging for Scratchless Drying and Detailing (Pack of 2, Grey)","473","7K+ bought in past month","16,353"
"1758953876-23","https://www.amazon.in/s?rh=n%3A4772060031%2Cp_n_condition-type%3A8609960031&dc&qid=1758952355&rnid=8609959031&ref=sr_nr_p_n_condition-type_0","","https://m.media-amazon.com/images/I/61ge72aiPiL._AC_UL320_.jpg","4.4 out of 5 stars","Jopasu Car Duster","750","6K+ bought in past month","42,821"
"1758953876-24","https://www.amazon.in/s?rh=n%3A4772060031%2Cp_n_condition-type%3A8609960031&dc&qid=1758952355&rnid=8609959031&ref=sr_nr_p_n_condition-type_0","","https://m.media-amazon.com/images/I/711cF60e5gL._AC_UL320_.jpg","4.3 out of 5 stars","WD-40 Pidilite Multipurpose Spray,Lubricant,Rust Remover,Squeak Noise Remover,Stain Remover,And Cleaning Agent,170G","211","8K+ bought in past month","21,765"
"1758953876-25","https://www.amazon.in/s?rh=n%3A4772060031%2Cp_n_condition-type%3A8609960031&dc&qid=1758952355&rnid=8609959031&ref=sr_nr_p_n_condition-type_0","","https://m.media-amazon.com/images/I/61mJo2tHKoL._AC_UL320_.jpg","4.4 out of 5 stars","Motul C2 Chain Lubrication Lube For All Bikes (150 Ml)","189","4K+ bought in past month","28,777"
"1758953876-26","https://www.amazon.in/s?rh=n%3A4772060031%2Cp_n_condition-type%3A8609960031&dc&qid=1758952355&rnid=8609959031&ref=sr_nr_p_n_condition-type_0","","https://m.media-amazon.com/images/I/71co+KXfQaL._AC_UL320_.jpg","4.7 out of 5 stars","70mai A510 HDR 3K Dual Channel Dash Cam, STARVIS 2 IMX675 Sensor, ADAS, Built-in GPS Logger, Route Recorder, MaiColor Vivid+ with Night Owl Vision, App Playback & Share, Optional Parking Monitoring","12,399","2K+ bought in past month","1,396"
"1758953876-27","https://www.amazon.in/s?rh=n%3A4772060031%2Cp_n_condition-type%3A8609960031&dc&qid=1758952355&rnid=8609959031&ref=sr_nr_p_n_condition-type_0","","https://m.media-amazon.com/images/I/51NEJJI3jnS._AC_UL320_.jpg","4.3 out of 5 stars","Cif Abrasive Surface Cleaner Cream, Lemon| Kitchen & Bathroom, Removes Grease, Dirt & Tough Stains with Natural Cleaning Particles, 500 ml","151","6K+ bought in past month","10,142"
"1758953876-28","https://www.amazon.in/s?rh=n%3A4772060031%2Cp_n_condition-type%3A8609960031&dc&qid=1758952355&rnid=8609959031&ref=sr_nr_p_n_condition-type_0","","https://m.media-amazon.com/images/I/61BWhTVSf0L._AC_UL320_.jpg","4.3 out of 5 stars","ORJILO 5 PCS Microfiber Car Duster Kit Interior & Exterior Car Cleaning Detailing Tool Scratch & Lint Free, Pollen Removing Extendable Long Handle Duster for Car & Motorcycle car (Car Duster Kit)","299","5K+ bought in past month","163"
