Image,Title,Price,Ratings,Review,Monthly Sales
https://m.media-amazon.com/images/I/81T3olLXpUL._AC_UL320_.jpg,"Samsung Galaxy M05 (Mint Green, 4GB RAM, 64 GB Storage) | 50MP Dual Camera | Bigger 6.7"" HD+ Display | 5000mAh Battery | 25W Fast Charging | 2 Gen OS Upgrade & 4 Year Security Update | Without Charger","6,249",4.0 out of 5 stars,"6,900",5K+ bought in past month
https://m.media-amazon.com/images/I/61B5hIAmvdL._AC_UL320_.jpg,"boAt Rockerz 113 (2025 Launch), 40 Hrs Playback, Dual Pair, Fast Charge, Enx Tech, Low Latency, Magnetic Buds, Bluetooth Neckband, Wireless with Mic in Ear Earphones(Active Black)",799,4.0 out of 5 stars,"1,904",5K+ bought in past month
https://m.media-amazon.com/images/I/513OSdW4elL._AC_UL320_.jpg,Apple EarPods (USB-C) ​​​​​​​,"1,649",4.2 out of 5 stars,"5,237",10K+ bought in past month
https://m.media-amazon.com/images/I/61W8xeZTwxL._AC_UL320_.jpg,"Ambrane Unbreakable 3A Fast Charging 1.5m Braided Type C Cable for Smartphones, Tablets & other Type C devices, 480Mbps Data Sync, Quick Charge 3.0 (RCT15A, Black)",179,4.0 out of 5 stars,"80,087",10K+ bought in past month
https://m.media-amazon.com/images/I/21rFLTV3tML._AC_UL320_.jpg,"Apple 20W USB-C Power Adapter (for iPhone, iPad & AirPods)","1,649",4.5 out of 5 stars,"93,756",10K+ bought in past month
https://m.media-amazon.com/images/I/513ugd16C6L._AC_UL320_.jpg,Boat BassHeads 100 in-Ear Headphones with Mic (Black),349,4.1 out of 5 stars,"426,326",5K+ bought in past month
https://m.media-amazon.com/images/I/71YWoU4RHBL._AC_UL320_.jpg,"Duracell Alkaline AAA Battery, Pack of 10, Everyday Devices, Clock, Toy, Remote",199,4.4 out of 5 stars,"31,348",5K+ bought in past month
https://m.media-amazon.com/images/I/51oMWaW7tKL._AC_UL320_.jpg,"OnePlus Nord Buds 2r True Wireless in Ear Earbuds with Mic, 12.4mm Drivers, Playback:Upto 38hr case,4-Mic Design, IP55 Rating [Deep Grey]","1,799",4.2 out of 5 stars,"30,324",10K+ bought in past month
https://m.media-amazon.com/images/I/614gbl-O98L._AC_UL320_.jpg,"boAt Airdopes 311 Pro, 50HRS Battery, Fast Charge, Dual Mics ENx Tech, Transparent LID, Low Latency, IPX4, IWP Tech, v5.3 Bluetooth Earbuds, TWS Ear Buds Wireless Earphones with mic (Active Black)",799,3.6 out of 5 stars,"24,384",5K+ bought in past month
https://m.media-amazon.com/images/I/61z3Rc-L94L._AC_UL320_.jpg,"Fastrack Fpods FE100|BT5.4 TWS in Ear Earbuds, 40Hrs Playtime, 13mm Extra Deep Bass Drivers, Dual Mic ENC for Crystal Clear Calls, Low Latency Gaming Mode Upto 60ms - 120 Mins in 10 Mins",448,3.6 out of 5 stars,"4,276",5K+ bought in past month
https://m.media-amazon.com/images/I/51UhwaQXCpL._AC_UL320_.jpg,"OnePlus Bullets Z2 Bluetooth Wireless in Ear Earphones with Mic, Bombastic Bass - 12.4 Mm Drivers, 10 Mins Charge - 20 Hrs Music, 30 Hrs Battery Life (Magico Black)","1,599",4.1 out of 5 stars,"206,616",9K+ bought in past month
https://m.media-amazon.com/images/I/71z4OGj4beL._AC_UL320_.jpg,"Duracell Alkaline AA Battery, Pack of 10, Everyday Devices, Clock, Toy, Remote",199,4.4 out of 5 stars,"31,348",5K+ bought in past month
https://m.media-amazon.com/images/I/51GGwjwSr0L._AC_UL320_.jpg,"Portronics Conch Theta C in Ear Type C Wired Earphones with in Line HD Mic, Powerful Audio, 14.2mm Driver, Unique Earbuds Design, TPE Anti Tangle Wire, in line Controls, Wide Compatibility(White)",249,4.0 out of 5 stars,"3,245",5K+ bought in past month
https://m.media-amazon.com/images/I/61Io5-ojWUL._AC_UL320_.jpg,"OnePlus Nord CE4 Lite 5G (Super Silver, 8GB RAM, 128GB Storage) | Lifetime Display Warranty | 5500 mAh Battery, 80W SUPERVOOC and Reverse Charging | 50MP Camera with OIS | 120Hz AMOLED Display","16,998",4.2 out of 5 stars,"9,482",5K+ bought in past month
https://m.media-amazon.com/images/I/51nBTTG3hNL._AC_UL320_.jpg,"OnePlus Nord Buds 3r TWS Earbuds up to 54 Hours Playback, 2-mic Clear Calls, 3D Spatial Audio, AI Translation, 12.4mm Drivers, Dual-Device Connectivity, 47ms Low Latency - Ash Black","1,799",4.2 out of 5 stars,"30,324",
https://m.media-amazon.com/images/I/610NUM9jlxL._AC_UL320_.jpg,"iQOO Neo 10R 5G (Moonknight Titanium, 8GB RAM, 256GB Storage) | Snapdragon 8s Gen 3 Processor | India's Slimmest 6400mAh Battery Smartphone | Segment's Most Stable 90FPS for 5 Hours","26,999",4.4 out of 5 stars,"3,224",3K+ bought in past month
https://m.media-amazon.com/images/I/41a5w8F1xGL._AC_UL320_.jpg|https://m.media-amazon.com/images/I/11hfR5Cq9GL._SS200_.png,Tapo C200 360° 2MP 1080p Full HD Pan/Tilt Home Security Wi-Fi Smart Camera| Alexa Enabled| 2-Way Audio| Night Vision| Motion Detection| Sound and Light Alarm| Indoor CCTV White,"1,399",4.2 out of 5 stars,"140,112",5K+ bought in past month
https://m.media-amazon.com/images/I/512UVkoMMEL._AC_UL320_.jpg,"Samsung Original 25W Type-C Travel Adaptor Without Cable, White",999,4.4 out of 5 stars,"43,706",10K+ bought in past month
https://m.media-amazon.com/images/I/7180ZAZmERL._AC_UL320_.jpg,"SanDisk Ultra 64GB microSDXC UHS-I, 140MB/s R, Memory Card, 10 Y Warranty, for Smartphones",569,4.4 out of 5 stars,"59,061",5K+ bought in past month
https://m.media-amazon.com/images/I/71SJv6Lop-L._AC_UL320_.jpg,"boAt Airdopes 131/8 with 60 Hrs Playback, ASAP Charge Truly Wireless Bluetooth in Ear Earbuds with Mic (Active Black)",699,4.1 out of 5 stars,"2,658",5K+ bought in past month
https://m.media-amazon.com/images/I/611RCy1XjsL._AC_UL320_.jpg,"rts Universal Travel Adapter, International All in One Worldwide Travel Adapter and Wall Charger with USB Ports with Multi Type Power Outlet USB 2.1A,100-250 Voltage Travel Charger (Black)",582,4.2 out of 5 stars,"13,974",5K+ bought in past month
