Image,Ratings,Price,Monthly Sales,Review,Title
https://m.media-amazon.com/images/I/41a5w8F1xGL._AC_UY218_.jpg,4.2 out of 5 stars,"1,399",5K+ bought in past month,"140,111",Tapo C200 360° 2MP 1080p Full HD Pan/Tilt Home Security Wi-Fi Smart Camera| Alexa Enabled| 2-Way Audio| Night Vision| Motion Detection| Sound and Light Alarm| Indoor CCTV White
https://m.media-amazon.com/images/I/611RCy1XjsL._AC_UY218_.jpg,4.2 out of 5 stars,582,5K+ bought in past month,"13,974","rts Universal Travel Adapter, International All in One Worldwide Travel Adapter and Wall Charger with USB Ports with Multi Type Power Outlet USB 2.1A,100-250 Voltage Travel Charger (Black)"
https://m.media-amazon.com/images/I/71XdLLUEo9L._AC_UY218_.jpg,4.4 out of 5 stars,289,5K+ bought in past month,"24,437","Scotch-Brite Sponge Wipe Resusable Kitchen Cleaning foam Cellulose wood Sponge- Easy to use, Multi- color & Biodegradable (pack of 5)"
https://m.media-amazon.com/images/I/61ihAmUosAL._AC_UY218_.jpg,4.1 out of 5 stars,145,5K+ bought in past month,"10,559","Misamo Enterprise PVC Wall Hooks, Pack of 15, Transparent"
https://m.media-amazon.com/images/I/811KbW2kVUL._AC_UY218_.jpg,4.2 out of 5 stars,279,5K+ bought in past month,"1,568","VOLTURI Microfiber Feather Duster Bendable & Extendable Fan Cleaning Duster with 100 inches Expandable Pole Handle Washable Duster for High Ceiling Fans,Window Blinds, Furniture (Standard)"
https://m.media-amazon.com/images/I/71vrCNW-KXL._AC_UY218_.jpg,4.4 out of 5 stars,69,5K+ bought in past month,"9,338",ScotchBrite Scrub Pad ( pack of 5)
https://m.media-amazon.com/images/I/410a9N3gxpL._AC_UY218_.jpg,4.0 out of 5 stars,149,5K+ bought in past month,"12,399","JIALTO 10 Pcs Stainless Steel, PVC, ABS Nail Free Seamless Adhesive Non-Trace No Drilling Installation Hanging, Waterproof Screws Wall Hook (Transparent)"
https://m.media-amazon.com/images/I/81dsWgzXLrL._AC_UY218_.jpg,4.3 out of 5 stars,299,9K+ bought in past month,"100,363",SOFTSPUN Microfiber Cloth - 4 pcs - 40x40 cms - 340 GSM Grey! Thick Lint & Streak-Free Multipurpose Cloths - Automotive Microfibre Towels for Car Bike Cleaning Polishing Washing & Detailing.
https://m.media-amazon.com/images/I/61ITlnte9uL._AC_UY218_.jpg,4.1 out of 5 stars,999,5K+ bought in past month,"51,579","Scotch-Brite 2-in-1 Bucket Spin Mop (Green, 2 Refills), 4 Pcs"
https://m.media-amazon.com/images/I/51IEZWXSkgL._AC_UY218_.jpg,4.4 out of 5 stars,419,5K+ bought in past month,"64,946","GM 3060 Extension Board 10Amp Output 250 Volts with 2 Mtr Extension Cord & Surge Protector | Master Switch, Safety Shutter, 4 International Sockets | Multi Plug Travel Adapter for Home Appliances"
https://m.media-amazon.com/images/I/61-rv4FJ3AL._AC_UY218_.jpg,4.0 out of 5 stars,"1,146",7K+ bought in past month,"31,660",Yonex Mavis 350 Green Cap Nylon Shuttlecock (Yellow)
https://m.media-amazon.com/images/I/81ZaEOi43nL._AC_UY218_.jpg,4.2 out of 5 stars,199,5K+ bought in past month,"7,908",Gala Sponge Wipe for Kitchen 5 Pcs Pack (Multipurpose) (148995)
https://m.media-amazon.com/images/I/71RAA5qZoGL._AC_UY218_.jpg,4.2 out of 5 stars,"1,399",5K+ bought in past month,"96,934","Spotzero by Milton Prime Stainless Steel Wringer Spin Mop with Big Wheel, Puller Handle, Bucket Floor Cleaning and Mopping System 360° Flexible,2 Microfiber Refills, Big Size, Aqua Green"
https://m.media-amazon.com/images/I/61kqjJ9kCoL._AC_UY218_.jpg,4.4 out of 5 stars,165,6K+ bought in past month,"2,454","IMPOWER Self Defence Pepper Spray Green Chilli for Woman Safety - 55 ML (Pack of 1) | Pocket Size Long Range of 12ft | Pepper Spray, Very Strong, Protection & Safety"
https://m.media-amazon.com/images/I/81xA2aeEMCL._AC_UY218_.jpg,4.0 out of 5 stars,169,5K+ bought in past month,"1,542","Boniry Stainless Steel Bathroom Shelf for Wall, Self Adhesive Bathroom Organiser, 4 Hooks for Towel Holder, Space-Saving Wall Mounted Bathroom Shelf with Elegant Design (Pack of 1, Black)"
https://m.media-amazon.com/images/I/61JDg6pGGJL._AC_UY218_.jpg,4.0 out of 5 stars,139,5K+ bought in past month,"36,512","Scotch-Brite Rubber Heavy Duty Hand gloves for Dishwashing, gardening, kitchen cleaning ( Inner cotton lining for comfort), 1 Pair"
https://m.media-amazon.com/images/I/61OZkE5nUFL._AC_UY218_.jpg,4.2 out of 5 stars,199,500+ bought in past month,"4,143","Solitude 20 Pieces PVC Heavy Duty Self Adhesive Stainless Hooks Transparent Waterproof and Oilproof Wall Hooks for Kitchen, Bathroom Shower Door Outdoor Home Improvement Utility Hook"
https://m.media-amazon.com/images/I/5123iFqB-QL._AC_UY218_.jpg,4.3 out of 5 stars,399,,45,"Solitude 100 Pieces PVC Heavy Duty Self Adhesive Stainless Hooks Transparent Waterproof and Oilproof Wall Hooks for Kitchen, Bathroom Shower Door Outdoor Home Improvement Utility Hook"
https://m.media-amazon.com/images/I/71Ka57X9mVL._AC_UY218_.jpg,4.0 out of 5 stars,425,5K+ bought in past month,591,Avimee Herbal Instant Water Softener | Makes Your Water Hair & Skin Friendly | Reduces Hair Fall & Skin Itching | Disables Hardness & Maintains pH Level | Non Toxic and 100% Safe (400ml (Pack of 1))
https://m.media-amazon.com/images/I/51JON7XePEL._AC_UY218_.jpg,4.4 out of 5 stars,159,5K+ bought in past month,"12,778",Anchor by Panasonic 6A 3 Pin Multiplug Travel Adapter with Universal Socket | 3 Pin Multi Plug Universal Socket (White)
https://m.media-amazon.com/images/I/61AOW-jTe8L._AC_UY218_.jpg,4.0 out of 5 stars,115,5K+ bought in past month,"3,938","Spartan Silica Gel - 5 Gram Desiccant Pouch of 80 pcs Pack (5gm/80 Packets) | Silica Gel Pouches for Moisture Absorbers for Room, Packaging of Shoes, Jewelry, Leather, Clothes or Electronics, Cars"
https://m.media-amazon.com/images/I/51E6uQO3OvL._AC_UY218_.jpg,4.0 out of 5 stars,799,5K+ bought in past month,"4,252","Lifelong Universal & Adjustable Metal Washing Machine Stand (5 KG to 12 KG) | Trolley with Wheels | Single/Double Door Fridge Stand, Air Cooler Stand | 170 KG Capacity, 4 Anti Vibration Pads | Black"
https://m.media-amazon.com/images/I/71k3KMgNezL._AC_UY218_.jpg,4.4 out of 5 stars,399,3K+ bought in past month,"2,046","GetSetNova Automatic Electric Water Dispenser Pump for 20 Litre Bottle Portable Water Pump Dispenser for Home, Office, and Outdoors | 1200 mAh C-Type Fast Charging Battery (Black)"
https://m.media-amazon.com/images/I/710SxepIfiL._AC_UY218_.jpg,4.0 out of 5 stars,449,5K+ bought in past month,"19,237","Lifelong PVC Hex Dumbbells Pack of 2 (5kg*2) Black Color for Home Gym Equipment Fitness Barbell|Gym Exercise|Home Workout, Gym Dumbbells|Dumbbells Weights for Men & Women (6 Months Warranty)"
https://m.media-amazon.com/images/I/51EtrQE+x7L._AC_UY218_.jpg,4.1 out of 5 stars,"1,299",3K+ bought in past month,"8,928","Imou 360° 1080P Full HD CCTV Security Camera, Human Detection, Motion Tracking, 2-Way Audio, Night Vision, Dome Camera with WiFi & Ethernet Connection, Alexa Enabled, Up to 256GB SD Card Support"
https://m.media-amazon.com/images/I/81NSao1tsWL._AC_UY218_.jpg,4.2 out of 5 stars,279,4K+ bought in past month,"11,914","Plantex Self Adhesive Bathroom Shelf | Kitchen Storage Hack with Magic Sticker | Anniversary Gift for Wife | Bathroom Organizer (Black, Powder Coated)"
https://m.media-amazon.com/images/I/51L5n+umNeL._AC_UY218_.jpg,4.1 out of 5 stars,845,4K+ bought in past month,"4,302",WaterScience Replacement Cartridge for CLEO Shower and Tap Filter for Hard Water | Borewell/Tanker Water Cartridge | Hard Water Softener
https://m.media-amazon.com/images/I/517A8JGGlsL._AC_UY218_.jpg,4.3 out of 5 stars,349,5K+ bought in past month,"4,826","Portronics Power Plate 10 Extension Board with 4 Universal Sockets, 3 Meter Long Cord, 1500 Watts, 6 Amp Multi Plug for Office & Home Appliances (Black)"
https://m.media-amazon.com/images/I/51IceQmZiZL._AC_UY218_.jpg,4.2 out of 5 stars,"1,899",5K+ bought in past month,"54,109",Tapo C210 360° 3MP Full HD 2304 X 1296P Video Pan/Tilt Smart Wi-Fi Security Camera | Alexa Enabled | 2-Way Audio| Night Vision| Motion Detection | Indoor CCTV White
https://m.media-amazon.com/images/I/61E16t+xvYL._AC_UY218_.jpg,4.4 out of 5 stars,104,4K+ bought in past month,"11,886",FREEMANS IKON 5m:19mm Steel Inchi Measuring Tape - 5m (Yellow & Black) With Unbreakable ABS case || Soft Grip Bi-material Case || Auto-lock and Belt Clip
https://m.media-amazon.com/images/I/51HsBCtnWNL._AC_UY218_.jpg,4.2 out of 5 stars,325,5K+ bought in past month,"17,724",Scotch-Brite Bathroom Squeegee Plastic Wiper(30 cm)(Green)
https://m.media-amazon.com/images/I/41sTQgPFRML._AC_UY218_.jpg,4.4 out of 5 stars,99,4K+ bought in past month,914,Ganesh Stainless Steel Sink Strainer Kitchen Drain Basin Basket Filter Stopper Drainer/Jali | 10 W x 10 H Millimeters
